,category,term,tf_idf
0,Автотовары,0,0.00037684899555777114
1,Детям,0,0.0010923185695105356
2,Здоровье,0,0.00021492748059793359
3,Игрушки,0,0.00013818995015611504
4,Канцтовары,0,0.00011362449515719508
5,Книги,0,0.0004692091374389211
6,Красота,0,0.0005291753057482275
7,Продукты,0,0.0006853576407107032
8,Электроника,0,8.817293931913248e-05
9,Бытовая техника,00,0.0024511543367095744
10,Здоровье,00,0.0004936039442083361
11,Электроника,00,0.0002024985846355495
12,Дом,000,7.56581888069023e-05
13,Здоровье,000,0.0004550334597277325
14,Книги,000,0.00015894169069546158
15,Продукты,000,8.291452075856961e-05
16,Электроника,000,0.0002986803736488522
17,Автотовары,000107306p,0.0003385247609632983
18,Автотовары,0006,0.0003385247609632983
19,Автотовары,00071,0.0003385247609632983
20,Автотовары,001,0.00010818425246318525
21,Зоотовары,001,0.0007838510167393004
22,Красота,001,6.751709340603425e-05
23,Здоровье,002,0.0006170049302604201
24,Зоотовары,002,0.0003919255083696502
25,Товары для взрослых,002,0.0012328371446118304
26,Автотовары,00242,0.00016926238048164914
27,Красота,003,0.00010563555871494477
28,Зоотовары,004,0.000919795298405868
29,Для ремонта,005,0.0002485597523428623
30,Здоровье,005,0.0004473413514801467
31,Автотовары,008648,0.0003385247609632983
32,Автотовары,01,0.0007661306862427891
33,Для ремонта,01,0.0001324273751052186
34,Здоровье,01,0.00015888933584822982
35,Красота,01,0.00026080211689296723
36,Мебель,01,0.00012042324026678534
37,Электроника,01,0.00013036713340916468
38,Автотовары,010,0.00026145274444470756
39,Красота,010,8.15854847910717e-05
40,Для ремонта,010102,0.00032183112449507643
41,Автотовары,0103,0.0003385247609632983
42,Автотовары,01072019,0.00016926238048164914
43,Автотовары,01082c,0.00016926238048164914
44,Автотовары,01094c,0.00016926238048164914
45,Автотовары,0110,0.00016926238048164914
46,Детям,012,0.0007578358737131504
47,Продукты,012,0.000543419287534892
48,Детям,0125л,0.0005683769052848629
49,Продукты,0125л,0.000407564465651169
50,Красота,014,0.00010563555871494477
51,Здоровье,0141,0.0001930701019546847
52,Сад и дача,015х2м,0.00018912426622707312
53,Здоровье,0166бп,0.0007722804078187388
54,Для ремонта,02,0.00020569874725743267
55,Красота,02,0.00033758546703017126
56,Сад и дача,02,0.00012087900043827265
57,Красота,020,0.00021127111742988953
58,Красота,0203top,0.00010563555871494477
59,Автотовары,0206,0.0003385247609632983
60,Красота,021,0.00010563555871494477
61,Сад и дача,0233,0.00018912426622707312
62,Автотовары,0241145523,0.00016926238048164914
63,Зоотовары,025,0.00023679509135583862
64,Канцтовары,025,0.0003153245617759793
65,Красота,027,0.00010563555871494477
66,Автотовары,0281006326,0.00016926238048164914
67,Детям,02л,0.0017051307158545885
68,Продукты,02л,0.001494403040720953
69,Сад и дача,02мл,0.00018912426622707312
70,Автотовары,03,9.219036396305846e-05
71,Красота,03,0.00017260623260159598
72,Продукты,03,9.580703007878048e-05
73,Электроника,03,0.00017256132749919687
74,Автотовары,030,0.0003385247609632983
75,Автотовары,030106t,0.00016926238048164914
76,Автотовары,0308,0.0006770495219265965
77,Автотовары,0309,0.0003385247609632983
78,Автотовары,0312,0.0003385247609632983
79,Автотовары,0313,0.0003385247609632983
80,Детям,033,0.0001894589684282876
81,Продукты,033,0.000407564465651169
82,Продукты,033л,0.0005277078410659967
83,Сад и дача,038х058м,0.00018912426622707312
84,Зоотовары,03кг,0.000306598432801956
85,Автотовары,04,0.0007511609798526835
86,Для ремонта,04,0.00010201700803843414
87,Дом,04,5.0879423030556045e-05
88,Здоровье,04,6.120114757077728e-05
89,Зоотовары,04,9.718840846360393e-05
90,Канцтовары,04,0.0001294194576966055
